ships,dates
Wilbur Soot & Technoblade & TommyInnit & Phil Watson,29 Mar 2023
Midoriya Izuku & TommyInnit (Video Blogging RPF),29 Mar 2023
Class 1-A (My Hero Academia) & TommyInnit (Video Blogging RPF),29 Mar 2023
Pro Heroes (My Hero Academia)/Reader,29 Mar 2023
Takami Keigo | Hawks & TommyInnit (Video Blogging RPF),29 Mar 2023
Toby Smith | Tubbo & TommyInnit,29 Mar 2023
Class 1-A & Pro Heroes (My Hero Academia),29 Mar 2023
Aizawa Shouta | Eraserhead & Yagi Toshinori | All Might & Yamada Hizashi | Present Mic,01 Apr 2023
Tsukauchi Naomasa & Yagi Toshinori | All Might,01 Apr 2023
Sasaki Mirai | Sir Nighteye & Yagi Toshinori | All Might,01 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,01 Apr 2023
David Shield & Yagi Toshinori | All Might,01 Apr 2023
Tsutsumi Kaina | Lady Nagant/Yagi Toshinori | All Might,01 Apr 2023
Yagi Toshinori | All Might/Original Character(s),01 Apr 2023
Yagi Toshinori | All Might/Original Female Character(s),01 Apr 2023
Yagi Toshinori | All Might & Everyone,01 Apr 2023
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,02 Apr 2023
Aizawa Shouta | Eraserhead & Shirakumo Oboro,02 Apr 2023
